year,resolution,url
2015,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20150101_20151231_go_epsg.4326_v2.tif
2016,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20160101_20161231_go_epsg.4326_v2.tif
2017,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20170101_20171231_go_epsg.4326_v2.tif
2018,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20180101_20181231_go_epsg.4326_v2.tif
2019,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20190101_20191231_go_epsg.4326_v2.tif
2020,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20200101_20201231_go_epsg.4326_v2.tif
2021,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20210101_20211231_go_epsg.4326_v2.tif
2022,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20220101_20221231_go_epsg.4326_v2.tif
2023,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20230101_20231231_go_epsg.4326_v2.tif
2024,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_nat.semi.grassland_rf.med.filt_p_30m_20240101_20241231_go_epsg.4326_v2.tif
2000,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20000101_20001231_go_epsg.4326_v2.tif
2001,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20010101_20011231_go_epsg.4326_v2.tif
2002,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20020101_20021231_go_epsg.4326_v2.tif
2003,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20030101_20031231_go_epsg.4326_v2.tif
2004,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20040101_20041231_go_epsg.4326_v2.tif
2005,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20050101_20051231_go_epsg.4326_v2.tif
2006,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20060101_20061231_go_epsg.4326_v2.tif
2007,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20070101_20071231_go_epsg.4326_v2.tif
2008,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20080101_20081231_go_epsg.4326_v2.tif
2009,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20090101_20091231_go_epsg.4326_v2.tif
2010,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20100101_20101231_go_epsg.4326_v2.tif
2011,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20110101_20111231_go_epsg.4326_v2.tif
2012,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20120101_20121231_go_epsg.4326_v2.tif
2013,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20130101_20131231_go_epsg.4326_v2.tif
2014,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20140101_20141231_go_epsg.4326_v2.tif
2015,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20150101_20151231_go_epsg.4326_v2.tif
2016,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20160101_20161231_go_epsg.4326_v2.tif
2017,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20170101_20171231_go_epsg.4326_v2.tif
2018,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20180101_20181231_go_epsg.4326_v2.tif
2019,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20190101_20191231_go_epsg.4326_v2.tif
2020,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20200101_20201231_go_epsg.4326_v2.tif
2021,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20210101_20211231_go_epsg.4326_v2.tif
2022,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20220101_20221231_go_epsg.4326_v2.tif
2023,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20230101_20231231_go_epsg.4326_v2.tif
2024,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_open.shrubland_rf.med.filt_p_30m_20240101_20241231_go_epsg.4326_v2.tif
2000,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20000101_20001231_go_epsg.4326_v2.tif
2001,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20010101_20011231_go_epsg.4326_v2.tif
2002,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20020101_20021231_go_epsg.4326_v2.tif
2003,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20030101_20031231_go_epsg.4326_v2.tif
2004,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20040101_20041231_go_epsg.4326_v2.tif
2005,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20050101_20051231_go_epsg.4326_v2.tif
2006,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20060101_20061231_go_epsg.4326_v2.tif
2007,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20070101_20071231_go_epsg.4326_v2.tif
2008,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20080101_20081231_go_epsg.4326_v2.tif
2009,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20090101_20091231_go_epsg.4326_v2.tif
2010,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20100101_20101231_go_epsg.4326_v2.tif
2011,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20110101_20111231_go_epsg.4326_v2.tif
2012,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20120101_20121231_go_epsg.4326_v2.tif
2013,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20130101_20131231_go_epsg.4326_v2.tif
2014,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20140101_20141231_go_epsg.4326_v2.tif
2015,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20150101_20151231_go_epsg.4326_v2.tif
2016,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20160101_20161231_go_epsg.4326_v2.tif
2017,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20170101_20171231_go_epsg.4326_v2.tif
2018,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20180101_20181231_go_epsg.4326_v2.tif
2019,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20190101_20191231_go_epsg.4326_v2.tif
2020,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20200101_20201231_go_epsg.4326_v2.tif
2021,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20210101_20211231_go_epsg.4326_v2.tif
2022,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20220101_20221231_go_epsg.4326_v2.tif
2023,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20230101_20231231_go_epsg.4326_v2.tif
2024,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland_rf.med.filt.bthr_c_30m_20240101_20241231_go_epsg.4326_v2.tif
2000-2024,30m,https://s3.eu-central-1.wasabisys.com/arco/gpw_grassland.n.chgs_rf.med.filt.bthr_c_30m_20000101_20241231_go_epsg.4326_v2.tif
